sample,env,delta_T,asv,fold,model,R2,R2_pooled,n_present,included
Water-B,Water,2,1,3,OLS_raw,0.2765609729369436,0.24783645302587232,8,True
Water-B,Water,2,1,4,OLS_raw,0.2896064167702279,0.24783645302587232,8,True
Water-B,Water,2,1,5,OLS_raw,0.3325902672930997,0.24783645302587232,8,True
Water-B,Water,2,1,6,OLS_raw,0.2723956454655567,0.24783645302587232,8,True
Water-B,Water,2,1,7,OLS_raw,0.23250772310769652,0.24783645302587232,8,True
Water-B,Water,2,1,8,OLS_raw,0.2687229354424385,0.24783645302587232,8,True
Water-B,Water,2,1,1,endpoint,0.05682964411887237,0.0499728440577667,8,True
Water-B,Water,2,1,2,endpoint,-0.006207792116157851,0.0499728440577667,8,True
Water-B,Water,2,1,3,endpoint,-0.03126819282857718,0.0499728440577667,8,True
Water-B,Water,2,1,4,endpoint,0.07981217550850828,0.0499728440577667,8,True
Water-B,Water,2,1,5,endpoint,0.08360546109682032,0.0499728440577667,8,True
Water-B,Water,2,1,6,endpoint,-0.07653315874036104,0.0499728440577667,8,True
Water-B,Water,2,1,7,endpoint,0.07165281188245609,0.0499728440577667,8,True
Water-B,Water,2,1,8,endpoint,0.09701674346269484,0.0499728440577667,8,True
Water-B,Water,2,1,1,linextrap,-3.6565532632756224,-4.885909635917063,8,True
Water-B,Water,2,1,2,linextrap,-3.1986332873635943,-4.885909635917063,8,True
Water-B,Water,2,1,3,linextrap,-4.84600550622067,-4.885909635917063,8,True
Water-B,Water,2,1,4,linextrap,-4.791611737822914,-4.885909635917063,8,True
Water-B,Water,2,1,5,linextrap,-5.744944019061589,-4.885909635917063,8,True
Water-B,Water,2,1,6,linextrap,-4.593522325777579,-4.885909635917063,8,True
Water-B,Water,2,1,7,linextrap,-4.735246491735565,-4.885909635917063,8,True
Water-B,Water,2,1,8,linextrap,-5.9164871001998804,-4.885909635917063,8,True
Water-B,Water,2,2,1,OLS,-0.04767092227987213,0.2521822272071942,8,True
Water-B,Water,2,2,2,OLS,0.1778283338794825,0.2521822272071942,8,True
Water-B,Water,2,2,3,OLS,0.27662090211913803,0.2521822272071942,8,True
Water-B,Water,2,2,4,OLS,0.27705892268461085,0.2521822272071942,8,True
Water-B,Water,2,2,5,OLS,0.24678983516814745,0.2521822272071942,8,True
Water-B,Water,2,2,6,OLS,0.27969900598990605,0.2521822272071942,8,True
Water-B,Water,2,2,7,OLS,0.3029862172560922,0.2521822272071942,8,True
Water-B,Water,2,2,8,OLS,0.3395573690080508,0.2521822272071942,8,True
Water-B,Water,2,2,1,OLS_raw,-0.07822420935373775,0.27151526742972887,8,True
Water-B,Water,2,2,2,OLS_raw,0.23594863945239108,0.27151526742972887,8,True
Water-B,Water,2,2,3,OLS_raw,0.19680001089035337,0.27151526742972887,8,True
Water-B,Water,2,2,4,OLS_raw,0.3310539067016094,0.27151526742972887,8,True
Water-B,Water,2,2,5,OLS_raw,0.32724409862334003,0.27151526742972887,8,True
Water-B,Water,2,2,6,OLS_raw,0.33138518239223247,0.27151526742972887,8,True
Water-B,Water,2,2,7,OLS_raw,0.3502666174226914,0.27151526742972887,8,True
Water-B,Water,2,2,8,OLS_raw,0.3520506020692781,0.27151526742972887,8,True
Water-B,Water,2,2,1,endpoint,-0.09873572080187154,0.19626624040679563,8,True
Water-B,Water,2,2,2,endpoint,0.16104222410848268,0.19626624040679563,8,True
Water-B,Water,2,2,3,endpoint,0.1475011306040761,0.19626624040679563,8,True
Water-B,Water,2,2,4,endpoint,0.2616637752051707,0.19626624040679563,8,True
Water-B,Water,2,2,5,endpoint,0.236870143219028,0.19626624040679563,8,True
